primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,author,license,rating,url,filename
asikoe2,[],"['call', 'song']",13.7308,100.5671,Eudynamys scolopaceus,Asian Koel,Richard Dunn,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4,https://www.xeno-canto.org/115086,asikoe2/XC115086.ogg
asikoe2,[],['song'],27.5334,84.3334,Eudynamys scolopaceus,Asian Koel,Marc Anderson,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3,https://www.xeno-canto.org/138196,asikoe2/XC138196.ogg
asikoe2,[],['song'],15.5442,73.7733,Eudynamys scolopaceus,Asian Koel,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4,https://www.xeno-canto.org/163887,asikoe2/XC163887.ogg
asikoe2,[],['song'],15.5442,73.7733,Eudynamys scolopaceus,Asian Koel,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4,https://www.xeno-canto.org/163888,asikoe2/XC163888.ogg
asikoe2,[],['call'],15.5442,73.7733,Eudynamys scolopaceus,Asian Koel,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,2,https://www.xeno-canto.org/163889,asikoe2/XC163889.ogg
asikoe2,[],['song'],15.5442,73.7733,Eudynamys scolopaceus,Asian Koel,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4,https://www.xeno-canto.org/163890,asikoe2/XC163890.ogg
asikoe2,[],['song'],15.5442,73.7733,Eudynamys scolopaceus,Asian Koel,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3,https://www.xeno-canto.org/163891,asikoe2/XC163891.ogg
asikoe2,[],['song'],7.2856,80.6668,Eudynamys scolopaceus,Asian Koel,Tero Linjama,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4,https://www.xeno-canto.org/164022,asikoe2/XC164022.ogg
asikoe2,[],"['call', 'song']",10.198,118.912,Eudynamys scolopaceus,Asian Koel,Arend Wassink,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,5,https://www.xeno-canto.org/164679,asikoe2/XC164679.ogg
asikoe2,[],['call'],18.5204,73.8567,Eudynamys scolopaceus,Asian Koel,joe,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4,https://www.xeno-canto.org/169914,asikoe2/XC169914.ogg
asikoe2,[],['call'],8.2589,126.1537,Eudynamys scolopaceus,Asian Koel,Tomas Carlberg,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/175484,asikoe2/XC175484.ogg
asikoe2,[],['call'],1.3545,103.7724,Eudynamys scolopaceus,Asian Koel,Lars Buckx,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/175830,asikoe2/XC175830.ogg
asikoe2,[],"['call', 'male', 'song']",23.3314,85.3193,Eudynamys scolopaceus,Asian Koel,Brajesh Kumar Dubey,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/179229,asikoe2/XC179229.ogg
asikoe2,[],['song'],31.9165,114.2253,Eudynamys scolopaceus,Asian Koel,Jim Holmes,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/182810,asikoe2/XC182810.ogg
asikoe2,[],['song'],11.0036,76.9537,Eudynamys scolopaceus,Asian Koel,Antony Schubert,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5,https://www.xeno-canto.org/189420,asikoe2/XC189420.ogg
